replication,T,method,lower,upper,covers,length
1,500,PI,-0.62793453680119971,-0.1415586625326847,1,0.48637587426851503
1,500,Boot,-0.58914857438667512,-0.15498015535593404,1,0.4341684190307411
1,500,RS,-0.55156092283798031,-0.2179322764959041,1,0.33362864634207623
1,1000,PI,-0.62912029015924875,-0.32534250328900688,1,0.30377778687024187
1,1000,Boot,-0.63259642649511827,-0.30986399492136329,1,0.32273243157375497
1,1000,RS,-0.73887033612070319,-0.21559245732755244,1,0.52327787879315069
1,2000,PI,-0.57675382845735135,-0.37951516928604856,1,0.19723865917130279
1,2000,Boot,-0.56587582919238733,-0.3721893704202569,1,0.19368645877213042
1,2000,RS,-0.55818836960382112,-0.39808062813957878,1,0.16010774146424234
1,5000,PI,-0.54353115482117098,-0.42393741378463823,1,0.11959374103653275
1,5000,Boot,-0.53924009135208817,-0.41219116745223788,1,0.12704892389985029
1,5000,RS,-0.53935078461343577,-0.42811778399237349,1,0.11123300062106228
1,10000,PI,-0.50455408776820854,-0.42115102754033751,1,0.083403060227871029
1,10000,Boot,-0.49930719024920989,-0.42070931523958599,1,0.078597875009623897
1,10000,RS,-0.50267571572870051,-0.42302939957984548,1,0.079646316148855034
2,500,PI,-0.74546704330941349,-0.21466297228772796,1,0.53080407102168548
2,500,Boot,-0.69923871359413403,-0.28784255579994344,1,0.41139615779419059
2,500,RS,-0.68032293983115122,-0.27980707576599018,1,0.40051586406516104
2,1000,PI,-0.56362951349756329,-0.2645990922521147,1,0.2990304212454486
2,1000,Boot,-0.57063416178035276,-0.26948904001232793,1,0.30114512176802483
2,1000,RS,-0.53420664442959742,-0.29402196132008063,1,0.24018468310951679
2,2000,PI,-0.53783064833185767,-0.34166260019808703,1,0.19616804813377064
2,2000,Boot,-0.52302628796710171,-0.31571227958553283,1,0.20731400838156888
2,2000,RS,-0.49200654993988807,-0.38748669859005663,1,0.10451985134983144
2,5000,PI,-0.50279447180586079,-0.38216568358047404,1,0.12062878822538675
2,5000,Boot,-0.4980305654332432,-0.37804773512482748,1,0.11998283030841572
2,5000,RS,-0.47971062587557206,-0.40524952951076271,1,0.074461096364809354
2,10000,PI,-0.46828065725526768,-0.38515516565760455,1,0.083125491597663137
2,10000,Boot,-0.46294871839244828,-0.37752414714837262,1,0.085424571244075653
2,10000,RS,-0.48578026483048248,-0.36765555808238976,1,0.11812470674809272
3,500,PI,-0.70393658950068749,-0.25997890210971314,1,0.44395768739097435
3,500,Boot,-0.63816579231032122,-0.24481684007862822,1,0.39334895223169297
3,500,RS,-0.55458375346143796,-0.40933173814896262,1,0.14525201531247534
3,1000,PI,-0.56351660230176226,-0.27719249115746158,1,0.28632411114430067
3,1000,Boot,-0.5472488733213422,-0.28927668881826063,1,0.25797218450308157
3,1000,RS,-0.51435977699790192,-0.32634931646132193,1,0.18801046053657999
3,2000,PI,-0.48531654917697636,-0.29213467472157212,1,0.19318187445540425
3,2000,Boot,-0.47196966042674598,-0.27458266273427545,1,0.19738699769247053
3,2000,RS,-0.47540245860910413,-0.30204876528944435,1,0.17335369331965977
3,5000,PI,-0.49495359579518849,-0.37659540149527837,1,0.11835819429991012
3,5000,Boot,-0.49495400768820974,-0.37522657028257794,1,0.1197274374056318
3,5000,RS,-0.51834615734911482,-0.35320283994135204,1,0.16514331740776278
3,10000,PI,-0.50002716336816855,-0.41647914984141621,1,0.08354801352675234
3,10000,Boot,-0.49878187982388034,-0.4135923540352463,1,0.085189525788634035
3,10000,RS,-0.51807143126367361,-0.39843488194591109,1,0.11963654931776252
4,500,PI,-0.74011253204758787,-0.20849987287511546,1,0.53161265917247236
4,500,Boot,-0.66367468793866435,-0.23468641863333833,1,0.42898826930532602
4,500,RS,-0.56322692469627922,-0.38538548022642405,1,0.17784144446985517
4,1000,PI,-0.55937632538669158,-0.25595601087380226,1,0.30342031451288931
4,1000,Boot,-0.54885155061553625,-0.24753978759085668,1,0.30131176302467955
4,1000,RS,-0.52866021776672623,-0.28667211849376761,1,0.24198809927295861
4,2000,PI,-0.46596197097838499,-0.27196957807528632,1,0.19399239290309866
4,2000,Boot,-0.45357522614197848,-0.26913391051598851,1,0.18444131562598998
4,2000,RS,-0.45935310703330012,-0.27857844202037119,1,0.18077466501292894
4,5000,PI,-0.4822416222332474,-0.36057498609414906,1,0.12166663613909834
4,5000,Boot,-0.47799809746502764,-0.36383737437259611,1,0.11416072309243153
4,5000,RS,-0.48483749622376915,-0.35797911210362732,1,0.12685838412014183
