T,method,coverage,mean_interval_length
500,PI,0.96199999999999997,0.47810375374096459
500,Boot,0.92800000000000005,0.43026581667313057
500,RS,0.70199999999999996,0.30949168544964956
1000,PI,0.97199999999999998,0.29501363934544333
1000,Boot,0.95599999999999996,0.28921394756150781
1000,RS,0.84999999999999998,0.27408997232423304
2000,PI,0.94799999999999995,0.19683648073373561
2000,Boot,0.95199999999999996,0.1978757880057575
2000,RS,0.85599999999999998,0.20503927339060254
5000,PI,0.95399999999999996,0.12041501273725572
5000,Boot,0.94599999999999995,0.12158311599937793
5000,RS,0.90600000000000003,0.13193822429141197
10000,PI,0.95599999999999996,0.084068837664763821
10000,Boot,0.94799999999999995,0.084238629166661458
10000,RS,0.90600000000000003,0.098711629782946161
