signal_squared,p,repetition,risk
5,20,1,0.178164419265675
5,20,2,0.10077717412475962
5,20,3,0.12598838684445932
5,20,4,0.080219946245663365
5,20,5,0.093965985568322974
5,20,6,0.097715865046937689
5,20,7,0.12681825273103406
5,20,8,0.078155244098507645
5,20,9,0.14680181884756824
5,20,10,0.047853390227805263
5,20,11,0.07411818212361411
5,20,12,0.10528505922950702
5,20,13,0.078434938125446371
5,20,14,0.065816499344295731
5,20,15,0.13157356869684991
5,20,16,0.10351439075097192
5,20,17,0.039212032993191114
5,20,18,0.064813713990794442
5,20,19,0.090126453259895115
5,20,20,0.087661773828215217
5,40,1,0.19898589681500925
5,40,2,0.27733177676129322
5,40,3,0.16851729461535894
5,40,4,0.22033475391253587
5,40,5,0.14456366455167369
5,40,6,0.16571838364413807
5,40,7,0.21949166485615057
5,40,8,0.23224625062283769
5,40,9,0.25457765868151955
5,40,10,0.16836032404271012
5,40,11,0.22903063243182398
5,40,12,0.28181412291350616
5,40,13,0.21589475293556545
5,40,14,0.20121179742036793
5,40,15,0.32221996671782294
5,40,16,0.1946180796560858
5,40,17,0.1668204651135102
5,40,18,0.22230078028122022
5,40,19,0.22776968781468848
5,40,20,0.26880387705754194
5,60,1,0.37669625882810531
5,60,2,0.51188141725885539
5,60,3,0.45645216446737918
5,60,4,0.34819064277584366
5,60,5,0.37450163511725831
5,60,6,0.60370296278954994
5,60,7,0.47421894266583731
5,60,8,0.51669237326273088
5,60,9,0.54348799627484889
5,60,10,0.40887619406362691
5,60,11,0.32662911676323103
5,60,12,0.44778172049555176
5,60,13,0.34171503680598003
5,60,14,0.2962719624787129
5,60,15,0.41282885319147372
5,60,16,0.39604584620201422
5,60,17,0.34950834646890605
5,60,18,0.41341516305889081
5,60,19,0.5274026309736779
5,60,20,0.39420346206904616
5,80,1,0.90560997547147182
5,80,2,0.60682946711743124
5,80,3,0.64358814171272205
5,80,4,0.459742606570471
5,80,5,0.63044783986468667
5,80,6,0.49657527323556722
5,80,7,0.65854375066911441
5,80,8,0.71899500165209584
5,80,9,0.55469549431369702
5,80,10,0.88615535478673479
5,80,11,0.64163233753617477
5,80,12,0.91670401617763397
5,80,13,0.7065048387942916
5,80,14,0.41329703682272306
5,80,15,0.64108273089243384
5,80,16,0.85172742678578861
5,80,17,0.47901709753176408
5,80,18,0.55528454474781919
5,80,19,0.66263726290775549
5,80,20,0.79919396944493526
5,100,1,0.70822701144940048
5,100,2,0.90302107682246946
5,100,3,1.2787659873917137
5,100,4,1.0946525259331179
5,100,5,1.2069028987047641
